58 Waitaki,Total Party Votes,"NICHOLLS, Colin (ACT New Zealand)","MISA, Jesse (Conservative Party)","van WIEREN, Hessel (Democrats for Social Credit)","COUTTS, Sue (Green Party)","MONKS, Barry (Labour Party)","DEAN, Jacqui (National Party)","FORD, David (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    432, 15.05,  0.93,  0.23,  1.16,  3.24, 76.39,  1.62,  1.16,  0.23,100.00 
Alliance,     23,  4.35, 13.04,  4.35,  8.70, 21.74, 17.39, 13.04, 13.04,  4.35,100.00 
Aotearoa Legalise Cannabis Party,    218,  1.38,  2.29,  1.83, 28.44, 23.39, 28.90,  8.26,  4.13,  1.38,100.00 
Conservative Party,   1100,  0.27, 40.64,  1.18,  2.18,  9.00, 42.27,  2.73,  1.55,  0.18,100.00 
Democrats for Social Credit,     74,  0.00,  2.70, 56.76,  6.76, 10.81, 13.51,  8.11,  1.35,  0.00,100.00 
Green Party,   4587,  0.09,  0.37,  0.44, 50.29, 24.53, 19.60,  2.51,  1.05,  1.13,100.00 
Labour Party,   8257,  0.25,  0.70,  0.22,  8.66, 77.36,  8.08,  1.22,  2.83,  0.67,100.00 
Libertarianz,     26, 11.54,  3.85, 11.54,  3.85,  7.69, 26.92, 34.62,  0.00,  0.00,100.00 
Mana,     52,  0.00,  1.92,  3.85, 32.69, 30.77, 25.00,  3.85,  0.00,  1.92,100.00 
Māori Party,    136,  0.00,  0.74,  0.74, 22.79, 12.50, 55.15,  3.68,  3.68,  0.74,100.00 
National Party,  21309,  0.33,  0.49,  0.13,  2.07,  1.30, 93.14,  0.52,  1.65,  0.37,100.00 
New Zealand First Party,   2010,  1.00,  5.02,  1.54,  9.20, 47.16, 25.47,  4.88,  5.32,  0.40,100.00 
United Future,    317,  1.58,  3.47,  0.63,  7.57, 13.56, 62.78,  6.62,  2.84,  0.95,100.00 
Informal Party Votes,    338,  0.59,  1.18,  1.78,  3.25, 24.85, 37.57,  1.78, 27.51,  1.48,100.00 
Total Party Votes and Percentages,  38879,  0.51,  1.95,  0.44,  9.85, 23.34, 59.72,  1.37,  2.27,  0.54,100.00 
