65 Ikaroa-Rāwhiti,Total Party Votes,"HOROMIA, Parekura (Labour Party)","McCLUTCHIE, Tawhai (Mana)","RAIHANIA, Na (Māori Party)","WAIRAU, Maurice (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     36, 38.89, 19.44, 27.78,  8.33,  5.56,  0.00,100.00 
Alliance,      2,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    267, 47.94, 14.61, 19.85,  5.62,  7.87,  4.12,100.00 
Conservative Party,     73, 32.88,  8.22, 23.29, 20.55, 13.70,  1.37,100.00 
Democrats for Social Credit,      2, 50.00,  0.00,  0.00,  0.00,  0.00, 50.00,100.00 
Green Party,   1710, 50.00, 15.73, 25.38,  3.27,  3.57,  2.05,100.00 
Labour Party,   9054, 77.82,  7.19,  8.55,  0.83,  3.20,  2.41,100.00 
Libertarianz,      7, 28.57, 14.29, 14.29, 28.57,  0.00, 14.29,100.00 
Mana,   1754, 18.24, 64.42, 10.43,  0.46,  3.42,  3.02,100.00 
Māori Party,   2736, 25.77,  4.28, 65.10,  0.48,  2.74,  1.64,100.00 
National Party,   1091, 34.46,  5.96, 40.15,  7.70, 10.17,  1.56,100.00 
New Zealand First Party,   1516, 58.51, 11.41, 17.48,  3.56,  8.11,  0.92,100.00 
United Future,     14, 21.43, 14.29, 35.71, 28.57,  0.00,  0.00,100.00 
Informal Party Votes,    470, 41.91,  5.11, 11.49,  0.64, 37.23,  3.62,100.00 
Total Party Votes and Percentages,  18732, 56.36, 13.26, 21.44,  1.77,  4.95,  2.20,100.00 
