68 Te Tai Tokerau,Total Party Votes,"HERBERT, Maki (Aotearoa Legalise Cannabis Party)","DAVIS, Kelvin (Labour Party)","HARAWIRA, Hone Pani Tamati Waka Nene (Mana)","SHORTLAND, Waihoroi (Māori Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     46,  6.52, 45.65, 21.74, 17.39,  8.70,  0.00,100.00 
Alliance,      5,  0.00,  0.00, 20.00,  0.00, 80.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    229, 57.64, 12.66, 19.65,  3.06,  1.75,  5.24,100.00 
Conservative Party,    102,  2.94, 35.29, 16.67, 33.33, 10.78,  0.98,100.00 
Democrats for Social Credit,      2,  0.00, 50.00, 50.00,  0.00,  0.00,  0.00,100.00 
Green Party,   1704,  5.93, 35.62, 37.50, 15.02,  2.70,  3.23,100.00 
Labour Party,   6855,  1.63, 61.28, 25.41,  5.89,  2.47,  3.31,100.00 
Libertarianz,      6, 33.33, 16.67, 16.67, 16.67, 16.67,  0.00,100.00 
Mana,   4844,  0.45,  2.60, 89.02,  1.34,  3.43,  3.16,100.00 
Māori Party,   2208,  0.72, 18.21, 17.98, 57.93,  2.45,  2.72,100.00 
National Party,   1814,  6.28, 32.36, 11.36, 39.69,  7.99,  2.32,100.00 
New Zealand First Party,   1950,  2.41, 41.33, 31.69, 15.28,  7.59,  1.69,100.00 
United Future,     17, 11.76, 35.29, 17.65, 17.65,  5.88, 11.76,100.00 
Informal Party Votes,    473,  1.06, 28.12, 27.27,  8.25, 33.62,  1.69,100.00 
Total Party Votes and Percentages,  20255,  2.76, 34.34, 40.09, 15.37,  4.50,  2.93,100.00 
