07 Coromandel,Total Party Votes,"FITTON, Jay (Aotearoa Legalise Cannabis Party)","RUREHE, Hugh (Conservative Party)","DELAHUNTY, Catherine (Green Party)","KININMONTH, Hugh (Labour Party)","SIMPSON, Scott (National Party)","STONE, Kevin (New Zealand First Party)","GRAF, Steve (United Future)","TURNER, Mapuna (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    473,  0.42,  2.33,  5.92,  2.96, 82.03,  3.81,  1.06,  0.42,  0.85,  0.21,100.00 
Alliance,      4, 25.00,  0.00,  0.00, 25.00, 25.00,  0.00,  0.00,  0.00, 25.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    217, 60.37,  1.38, 15.21,  8.76,  9.68,  1.84,  0.00,  0.46,  0.92,  1.38,100.00 
Conservative Party,   1349,  0.74, 38.32,  6.00,  5.86, 42.70,  3.04,  0.96,  0.30,  1.93,  0.15,100.00 
Democrats for Social Credit,     21,  0.00,  9.52, 23.81, 23.81, 19.05, 19.05,  0.00,  4.76,  0.00,  0.00,100.00 
Green Party,   3929,  1.78,  0.25, 71.82, 15.58,  7.84,  0.53,  0.15,  0.13,  0.81,  1.09,100.00 
Labour Party,   6239,  1.55,  0.58, 22.26, 64.21,  2.39,  3.93,  0.42,  0.29,  2.97,  1.41,100.00 
Libertarianz,     24,  8.33, 20.83, 20.83,  4.17, 20.83,  4.17,  4.17,  4.17,  8.33,  4.17,100.00 
Mana,     87,  6.90,  2.30, 45.98, 18.39,  4.60,  5.75,  0.00,  5.75,  3.45,  6.90,100.00 
Māori Party,    151,  0.66,  1.99, 27.15, 19.21, 32.45,  5.30,  1.32,  1.32,  5.30,  5.30,100.00 
National Party,  18021,  0.46,  0.92,  3.75,  0.84, 90.26,  0.84,  0.34,  0.03,  2.04,  0.53,100.00 
New Zealand First Party,   3813,  1.29,  2.39, 13.48, 21.37, 15.37, 41.86,  0.37,  0.18,  3.12,  0.58,100.00 
United Future,    236,  0.00,  2.54,  6.36,  9.75, 48.73,  2.12, 27.54,  0.42,  2.54,  0.00,100.00 
Informal Party Votes,    286,  1.05,  0.70,  4.20, 20.63, 34.97,  6.29,  0.35,  0.35, 30.77,  0.70,100.00 
Total Party Votes and Percentages,  34850,  1.30,  2.45, 16.24, 16.73, 53.29,  6.08,  0.56,  0.15,  2.42,  0.78,100.00 
