08 Dunedin North,Total Party Votes,"McCALLUM, Guy (ACT New Zealand)","BILLOT, Victor (Alliance)","CRAWFORD, Julian Lloyd (Aotearoa Legalise Cannabis Party)","NOBLE, Jeremy (Democrats for Social Credit)","TUREI, Metiria (Green Party)","CLARK, David (Labour Party)","WOODHOUSE, Michael (National Party)","GEORGE, Pete (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    218, 21.10,  0.00,  1.83,  0.00,  5.05,  8.26, 61.01,  0.92,  0.46,  1.38,100.00 
Alliance,     50,  0.00, 42.00,  0.00,  2.00, 12.00, 34.00,  4.00,  0.00,  4.00,  2.00,100.00 
Aotearoa Legalise Cannabis Party,    172,  0.58,  1.16, 52.91,  1.74, 16.86, 13.37,  6.98,  0.00,  0.58,  5.81,100.00 
Conservative Party,    405,  3.21,  1.23,  0.99,  5.19, 11.36, 22.96, 46.91,  3.46,  4.20,  0.49,100.00 
Democrats for Social Credit,     62,  0.00,  0.00,  0.00, 61.29,  8.06, 20.97,  8.06,  1.61,  0.00,  0.00,100.00 
Green Party,   7010,  0.17,  0.88,  1.37,  0.36, 46.69, 42.74,  5.89,  0.24,  0.31,  1.34,100.00 
Labour Party,  10127,  0.13,  0.50,  1.09,  0.26, 12.62, 80.48,  2.04,  0.17,  1.56,  1.16,100.00 
Libertarianz,     18,  5.56,  5.56, 11.11,  5.56, 16.67, 27.78, 27.78,  0.00,  0.00,  0.00,100.00 
Mana,    181,  0.00, 12.15,  6.08,  0.00, 38.67, 35.91,  1.66,  0.00,  2.21,  3.31,100.00 
Māori Party,    126,  0.00,  1.59,  0.79,  0.00, 30.95, 30.95, 27.78,  0.79,  1.59,  5.56,100.00 
National Party,   9707,  0.60,  0.10,  0.42,  0.32,  7.15,  5.14, 83.48,  0.39,  1.12,  1.28,100.00 
New Zealand First Party,   1706,  0.82,  1.82,  2.11,  2.70, 14.24, 56.80, 15.12,  0.88,  4.51,  1.00,100.00 
United Future,    183,  0.00,  0.55,  0.55,  1.64,  6.56, 16.94, 33.88, 38.25,  1.09,  0.55,100.00 
Informal Party Votes,    190,  0.53,  1.05,  0.53,  0.53,  6.32, 30.53, 31.05,  0.53, 27.89,  1.05,100.00 
Total Party Votes and Percentages,  30155,  0.53,  0.70,  1.32,  0.65, 18.97, 43.03, 31.46,  0.58,  1.49,  1.27,100.00 
