09 Dunedin South,Total Party Votes,"HANNAH, Kimberly (ACT New Zealand)","MURRAY, Kay (Alliance)","VOIGHT, Warren (Democrats for Social Credit)","GALLAGHER, Shane (Green Party)","CURRAN, Clare (Labour Party)","HAYES, Joanne (National Party)","RATANA, Randall (New Zealand First Party)","WANSINK, Robert (Restore All Things in Christ)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    210, 23.33,  0.00,  0.95,  1.43, 14.76, 53.81,  2.86,  0.48,  2.38,  0.00,100.00 
Alliance,     58,  0.00, 50.00,  0.00,  6.90, 22.41, 13.79,  3.45,  0.00,  3.45,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    157,  1.91,  0.00,  0.64, 28.66, 42.68, 14.01,  3.18,  3.18,  1.91,  3.82,100.00 
Conservative Party,    520,  2.50,  1.15,  4.81,  5.38, 29.62, 34.23,  8.46,  8.27,  5.58,  0.00,100.00 
Democrats for Social Credit,    126,  0.00,  0.79, 61.90,  3.97, 16.67,  7.94,  2.38,  2.38,  3.17,  0.79,100.00 
Green Party,   4798,  0.23,  0.33,  0.25, 36.72, 54.77,  5.42,  0.29,  0.19,  0.73,  1.06,100.00 
Labour Party,  12326,  0.16,  0.27,  0.17,  5.54, 88.66,  0.77,  0.96,  0.19,  2.29,  0.99,100.00 
Libertarianz,     16,  6.25,  6.25,  6.25,  0.00, 18.75, 37.50,  0.00,  0.00, 25.00,  0.00,100.00 
Mana,     62,  0.00, 11.29,  3.23, 24.19, 43.55,  4.84,  4.84,  1.61,  1.61,  4.84,100.00 
Māori Party,    107,  0.00,  0.93,  1.87, 12.15, 41.12, 32.71,  3.74,  0.00,  5.61,  1.87,100.00 
National Party,  14163,  0.74,  0.19,  0.36,  3.50,  9.88, 82.05,  0.40,  0.29,  1.96,  0.62,100.00 
New Zealand First Party,   2522,  0.32,  0.48,  1.55,  4.48, 52.58,  7.73, 28.15,  1.19,  3.09,  0.44,100.00 
United Future,    186,  2.15,  1.61,  0.54,  8.06, 39.25, 39.25,  1.08,  4.30,  3.23,  0.54,100.00 
Informal Party Votes,    318,  0.31,  1.89,  0.94,  4.72, 40.57, 15.72,  3.77,  0.63, 30.50,  0.94,100.00 
Total Party Votes and Percentages,  35569,  0.60,  0.40,  0.67,  8.99, 47.36, 35.62,  2.75,  0.47,  2.33,  0.81,100.00 
