12 Epsom,Total Party Votes,"SEYMOUR, David (ACT New Zealand)","RANKIN, Christine (Conservative)","GENTER, Julie Anne (Green Party)","O'DEA, Patrick (Internet MANA)","WOOD, Michael Philip (Labour Party)","GOLDSMITH, Paul (National Party)","LYON, Cliff (New Zealand First Party)","GOODE, Matthew (Independent)","HADEN, Grace (Independent)","HOLLAND, Adam (Independent)","KRUGER, Susanna Susara (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1023, 76.34,  0.88,  1.08,  0.10,  1.17, 17.69,  0.29,  0.00,  0.10,  0.00,  0.10,  1.37,  0.88,100.00 
Aotearoa Legalise Cannabis Party,     76, 11.84,  2.63, 35.53,  1.32, 13.16, 18.42,  5.26,  0.00,  0.00,  1.32,  0.00,  1.32,  9.21,100.00 
Ban1080,      7, 14.29, 14.29,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 14.29,  0.00, 28.57, 28.57,  0.00,100.00 
Conservative,    932, 29.61, 50.75,  0.97,  0.00,  1.18, 14.27,  0.32,  0.11,  0.11,  0.00,  0.00,  1.39,  1.29,100.00 
Democrats for Social Credit,     10, 10.00, 10.00,  0.00,  0.00, 10.00, 40.00, 10.00,  0.00,  0.00,  0.00, 10.00, 10.00,  0.00,100.00 
Focus New Zealand,      4, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00, 25.00,  0.00,  0.00, 25.00,  0.00,  0.00,  0.00,100.00 
Green Party,   4706,  3.57,  1.06, 36.80,  0.25, 11.11, 43.54,  0.57,  0.19,  0.13,  0.08,  0.13,  0.38,  2.17,100.00 
Internet MANA,    312,  5.77,  2.24, 19.23, 15.06, 11.22, 37.18,  2.56,  0.00,  0.64,  0.00,  0.32,  0.64,  5.13,100.00 
Labour Party,   5045,  3.17,  1.45, 10.31,  0.52, 49.57, 30.78,  1.01,  0.06,  0.08,  0.00,  0.06,  0.81,  2.18,100.00 
Māori Party,    174, 20.11,  3.45, 12.64,  3.45,  6.90, 43.10,  1.72,  0.00,  0.57,  0.00,  0.57,  2.87,  4.60,100.00 
National Party,  23904, 60.09,  4.07,  2.26,  0.03,  0.87, 30.06,  0.40,  0.09,  0.14,  0.05,  0.05,  0.56,  1.34,100.00 
New Zealand First Party,   1308,  8.94,  9.48,  6.65,  0.54, 10.86, 27.60, 32.26,  0.15,  0.46,  0.08,  0.23,  0.54,  2.22,100.00 
NZ Independent Coalition,      3, 33.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 33.33,  0.00, 33.33,100.00 
The Civilian Party,     17, 35.29,  0.00, 17.65,  0.00, 11.76, 29.41,  0.00,  0.00,  5.88,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,     61, 18.03,  4.92,  9.84,  0.00, 11.48, 47.54,  0.00,  1.64,  4.92,  1.64,  0.00,  0.00,  0.00,100.00 
Informal Party Votes,     93, 17.20,  3.23,  3.23,  0.00,  7.53, 10.75,  2.15,  0.00,  0.00,  0.00,  1.08, 52.69,  2.15,100.00 
Total Party Votes and Percentages,  37675, 42.38,  4.58,  8.02,  0.28,  9.21, 31.10,  1.65,  0.10,  0.16,  0.06,  0.08,  0.76,  1.64,100.00 
