18 Ilam,Total Party Votes,"VEALE, Gareth (ACT New Zealand)","STRINGER, John (Conservative)","KELCHER, John (Green Party)","BALLANTINE, Beverley (Internet MANA)","DANN, James Macbeth (Labour Party)","WAKEFIELD, Benita (Māori Party)","BROWNLEE, Gerry (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    349, 38.11,  3.44,  3.44,  1.15, 11.17,  0.86, 38.68,  1.43,  1.72,100.00 
Aotearoa Legalise Cannabis Party,     96,  3.13,  4.17, 33.33,  8.33, 20.83,  0.00, 19.79,  3.13,  7.29,100.00 
Ban1080,     21,  9.52,  0.00, 23.81,  9.52, 19.05,  0.00, 23.81,  4.76,  9.52,100.00 
Conservative,   1300,  1.00, 39.77,  2.46,  0.15,  5.69,  0.15, 48.38,  1.08,  1.31,100.00 
Democrats for Social Credit,     14,  0.00,  7.14, 14.29,  7.14, 14.29,  7.14, 42.86,  0.00,  7.14,100.00 
Focus New Zealand,      3,  0.00,  0.00,  0.00,  0.00, 66.67,  0.00, 33.33,  0.00,  0.00,100.00 
Green Party,   4574,  0.20,  0.74, 47.60,  1.49, 36.05,  0.83, 10.32,  0.74,  2.03,100.00 
Internet MANA,    233,  0.86,  1.29, 14.16, 40.34, 32.19,  0.86,  6.87,  0.43,  3.00,100.00 
Labour Party,   6238,  0.48,  0.88, 12.12,  0.66, 77.59,  0.51,  4.91,  0.87,  1.99,100.00 
Māori Party,    171,  0.58,  4.09, 16.37,  0.58, 14.04, 25.15, 36.26,  0.00,  2.92,100.00 
National Party,  20377,  0.86,  1.95,  4.10,  0.33,  3.00,  0.41, 87.20,  1.06,  1.10,100.00 
New Zealand First Party,   1806,  1.72,  7.14, 15.39,  1.50, 39.09,  1.77, 27.19,  4.21,  1.99,100.00 
NZ Independent Coalition,      7,  0.00, 28.57, 14.29,  0.00, 28.57, 14.29,  0.00, 14.29,  0.00,100.00 
The Civilian Party,     23,  4.35, 17.39,  0.00, 13.04, 34.78,  0.00, 26.09,  4.35,  0.00,100.00 
United Future,     92,  0.00,  7.61,  7.61,  2.17, 20.65,  5.43, 53.26,  2.17,  1.09,100.00 
Informal Party Votes,     73,  2.74,  0.00,  4.11,  1.37, 10.96,  1.37, 21.92, 53.42,  4.11,100.00 
Total Party Votes and Percentages,  35377,  1.14,  3.31, 11.87,  0.91, 22.85,  0.69, 56.48,  1.27,  1.49,100.00 
