19 Invercargill,Total Party Votes,"STORR, Laura (Conservative)","DE RUYTER, Stephnie (Democrats for Social Credit)","KENNEDY, David (Green Party)","SOPER, Lesley (Labour Party)","DOWIE, Sarah (National Party)","BOND, Ria (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    113,  4.42,  0.88,  1.77, 13.27, 68.14,  6.19,  4.42,  0.88,100.00 
Aotearoa Legalise Cannabis Party,    224,  4.91,  2.68, 32.59, 25.00, 14.73, 16.52,  2.68,  0.89,100.00 
Ban1080,    173,  7.51,  0.58,  9.25, 26.01, 38.73, 15.61,  2.31,  0.00,100.00 
Conservative,   1256, 34.87,  1.43,  3.03, 11.07, 46.58,  2.31,  0.40,  0.32,100.00 
Democrats for Social Credit,     95,  1.05, 74.74,  3.16,  6.32,  8.42,  6.32,  0.00,  0.00,100.00 
Focus New Zealand,     10, 10.00,  0.00, 10.00, 40.00, 20.00, 10.00,  0.00, 10.00,100.00 
Green Party,   2581,  0.15,  1.12, 48.66, 34.68, 10.38,  2.91,  0.93,  1.16,100.00 
Internet MANA,    210,  1.90,  4.76, 27.62, 39.52,  7.62, 13.33,  0.48,  4.76,100.00 
Labour Party,   8553,  0.75,  0.76,  7.21, 82.40,  2.90,  4.07,  1.06,  0.84,100.00 
Māori Party,    110,  2.73,  1.82, 19.09, 31.82, 25.45,  9.09,  0.91,  9.09,100.00 
National Party,  16880,  0.69,  0.35,  1.28,  2.74, 92.31,  1.47,  0.79,  0.37,100.00 
New Zealand First Party,   3806,  1.23,  1.66,  4.68, 31.61, 14.32, 44.53,  1.37,  0.60,100.00 
NZ Independent Coalition,     11,  0.00,  0.00, 27.27, 54.55,  0.00,  9.09,  9.09,  0.00,100.00 
The Civilian Party,     23,  8.70,  4.35, 21.74, 13.04, 39.13,  4.35,  0.00,  8.70,100.00 
United Future,     68,  8.82,  7.35,  5.88, 13.24, 52.94,  5.88,  4.41,  1.47,100.00 
Informal Party Votes,    153,  2.61,  1.31,  3.92, 22.22, 14.38,  5.88, 48.37,  1.31,100.00 
Total Party Votes and Percentages,  34266,  2.10,  0.97,  7.29, 29.31, 51.15,  7.37,  1.17,  0.64,100.00 
