02 Bay of Plenty,Total Party Votes,"CUNLIFFE, Deborah (Conservative)","LIVINGSTON, Tracy (Democrats for Social Credit)","WILSON, Clare (Labour Party)","MULLER, Todd (National Party)","DOLMAN, Raymond (New Zealand First Party)","HORAN, Brendan (NZ Independent Coalition)","RICKARD, Ben (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     90,  5.56,  1.11, 10.00, 62.22,  5.56,  8.89,  1.11,  3.33,  2.22,100.00 
Aotearoa Legalise Cannabis Party,    126,  3.97,  4.76, 30.95, 15.08, 22.22, 12.70,  2.38,  0.79,  7.14,100.00 
Ban1080,     50,  2.00,  4.00, 20.00, 30.00, 28.00,  6.00,  4.00,  4.00,  2.00,100.00 
Conservative,   2072, 37.21,  0.19,  4.20, 49.13,  4.83,  2.56,  0.24,  0.87,  0.77,100.00 
Democrats for Social Credit,     33,  0.00, 60.61,  3.03, 21.21,  3.03,  9.09,  0.00,  3.03,  0.00,100.00 
Focus New Zealand,      6, 16.67,  0.00, 16.67, 33.33,  0.00, 33.33,  0.00,  0.00,  0.00,100.00 
Green Party,   2645,  2.38,  2.31, 54.86, 16.26, 11.49,  6.54,  0.72,  3.48,  1.97,100.00 
Internet MANA,    187,  2.14,  2.14, 51.34,  1.60, 19.79, 11.23,  1.07,  1.60,  9.09,100.00 
Labour Party,   4783,  1.30,  0.23, 79.30,  2.61,  8.97,  4.16,  0.23,  0.73,  2.47,100.00 
Māori Party,    207,  3.38,  0.97, 24.15, 36.71, 12.56,  9.18,  3.86,  3.86,  5.31,100.00 
National Party,  21096,  1.41,  0.13,  1.39, 90.59,  2.89,  2.00,  0.22,  0.57,  0.82,100.00 
New Zealand First Party,   5100,  1.90,  0.39, 15.43, 15.82, 58.29,  5.43,  0.29,  0.94,  1.49,100.00 
NZ Independent Coalition,    104,  2.88,  0.96,  5.77, 11.54,  3.85, 72.12,  0.00,  0.00,  2.88,100.00 
The Civilian Party,     10,  0.00, 10.00, 20.00, 40.00,  0.00, 30.00,  0.00,  0.00,  0.00,100.00 
United Future,     78,  3.85,  0.00, 10.26, 43.59,  3.85,  6.41, 28.21,  1.28,  2.56,100.00 
Informal Party Votes,     88,  3.41,  0.00,  6.82, 19.32, 10.23,  3.41,  1.14, 51.14,  4.55,100.00 
Total Party Votes and Percentages,  36675,  3.60,  0.44, 18.10, 59.26, 12.38,  3.49,  0.37,  1.03,  1.32,100.00 
