21 Kelston,Total Party Votes,"HAYCOCK, Bruce (ACT New Zealand)","LYE, Jeff (Aotearoa Legalise Cannabis Party)","SOMMER, Paul (Conservative)","IRWIN, Ruth (Green Party)","SAMI, Roshni (Internet MANA)","SEPULONI, Carmel (Labour Party)","PENK, Christopher (National Party)","DEGIA-PALA, Anne (New Zealand First Party)","WOOLSTON, Jason (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    308, 48.38,  0.32,  0.97,  1.30,  0.32, 14.29, 24.35,  1.95,  0.65,  6.49,  0.97,100.00 
Aotearoa Legalise Cannabis Party,    108,  2.78, 57.41,  0.00,  8.33,  3.70,  8.33,  7.41,  0.93,  0.93,  0.93,  9.26,100.00 
Ban1080,     13,  0.00,  0.00,  7.69,  0.00,  0.00, 38.46, 30.77, 15.38,  0.00,  7.69,  0.00,100.00 
Conservative,    910,  0.00,  1.32, 41.10,  1.43,  0.99, 10.22, 40.99,  1.54,  0.44,  0.44,  1.54,100.00 
Democrats for Social Credit,      8,  0.00,  0.00, 12.50, 12.50, 25.00, 12.50,  0.00, 25.00, 12.50,  0.00,  0.00,100.00 
Focus New Zealand,      7,  0.00,  0.00,  0.00, 14.29,  0.00, 28.57, 42.86,  0.00,  0.00, 14.29,  0.00,100.00 
Green Party,   3298,  0.06,  1.30,  0.27, 33.99,  0.70, 55.03,  5.18,  0.61,  0.12,  0.33,  2.40,100.00 
Internet MANA,    432,  0.46,  3.94,  0.69, 11.57, 23.38, 46.53,  3.94,  1.39,  0.23,  1.16,  6.71,100.00 
Labour Party,  12934,  0.13,  0.55,  0.42,  3.69,  0.35, 87.20,  1.69,  1.36,  0.15,  1.13,  3.34,100.00 
Māori Party,     94,  1.06,  2.13,  0.00, 10.64,  1.06, 35.11, 26.60,  4.26,  0.00,  3.19, 15.96,100.00 
National Party,   9924,  0.78,  0.46,  1.29,  2.47,  0.31,  5.79, 84.83,  1.45,  0.20,  0.91,  1.50,100.00 
New Zealand First Party,   2595,  0.42,  1.66,  1.50,  4.28,  0.66, 37.34, 14.80, 34.68,  0.42,  1.23,  3.01,100.00 
NZ Independent Coalition,      7, 14.29,  0.00,  0.00, 14.29,  0.00, 14.29, 42.86,  0.00,  0.00, 14.29,  0.00,100.00 
The Civilian Party,     15,  6.67,  6.67,  0.00, 33.33,  0.00, 40.00,  0.00,  6.67,  0.00,  6.67,  0.00,100.00 
United Future,     48,  0.00,  2.08,  0.00,  0.00,  0.00, 25.00, 29.17,  0.00, 39.58,  2.08,  2.08,100.00 
Informal Party Votes,    179,  1.68,  1.12,  0.56,  2.23,  0.00, 26.26,  5.03,  3.91,  0.00, 54.75,  4.47,100.00 
Total Party Votes and Percentages,  30880,  0.86,  0.97,  1.99,  6.65,  0.76, 48.87, 31.49,  4.15,  0.27,  1.34,  2.65,100.00 
