22 Mana,Total Party Votes,"GOODE, Richard (Aotearoa Legalise Cannabis Party)","BARRY, Roy (Conservative)","ENGLAND, Ron (Democrats for Social Credit)","LOGIE, Jan (Green Party)","FAAFOI, Kris (Labour Party)","PARATA, Hekia (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     79,  2.53,  8.86,  0.00, 11.39, 29.11, 40.51,  7.59,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    173, 39.88,  0.58,  1.73, 10.98, 36.42,  3.47,  1.16,  5.78,100.00 
Ban1080,     21,  9.52, 14.29,  0.00, 14.29, 38.10, 23.81,  0.00,  0.00,100.00 
Conservative,    977,  0.41, 39.82,  0.10,  4.30, 19.75, 33.06,  1.23,  1.33,100.00 
Democrats for Social Credit,     24,  0.00,  8.33, 37.50,  4.17, 41.67,  8.33,  0.00,  0.00,100.00 
Focus New Zealand,      3,  0.00,  0.00,  0.00,  0.00, 66.67, 33.33,  0.00,  0.00,100.00 
Green Party,   4691,  1.09,  0.36,  0.19, 29.82, 64.10,  2.77,  0.34,  1.32,100.00 
Internet MANA,    351,  7.41,  1.14,  1.14, 22.22, 57.55,  5.13,  0.85,  4.56,100.00 
Labour Party,  12601,  0.70,  0.47,  0.08,  4.55, 91.02,  0.63,  0.59,  1.96,100.00 
Māori Party,    226,  3.10,  2.65,  0.44, 10.18, 54.87, 19.03,  1.33,  8.41,100.00 
National Party,  14850,  0.60,  2.46,  0.20,  4.24, 18.43, 72.11,  1.09,  0.87,100.00 
New Zealand First Party,   2493,  2.37,  4.77,  0.96,  9.47, 66.71, 11.63,  2.25,  1.85,100.00 
NZ Independent Coalition,      5,  0.00,  0.00,  0.00, 20.00, 80.00,  0.00,  0.00,  0.00,100.00 
The Civilian Party,     28, 10.71,  7.14,  0.00, 10.71, 57.14, 14.29,  0.00,  0.00,100.00 
United Future,    116,  1.72,  3.45,  2.59,  5.17, 47.41, 36.21,  2.59,  0.86,100.00 
Informal Party Votes,    155,  0.65,  0.65,  1.94,  1.29, 47.74,  8.39, 36.13,  3.23,100.00 
Total Party Votes and Percentages,  36793,  1.10,  2.66,  0.26,  8.22, 53.41, 31.79,  1.07,  1.49,100.00 
