24 Manukau East,Total Party Votes,"VERMUNT, Annalucia (Communist League)","TAUKOLO, Vili M (Conservative)","PERINPANAYAGAM, Umesh (Green Party)","TRINDER, Joe (Internet MANA)","SALESA, Jenny (Labour Party)","BAKSHI, Kanwal (National Party)","LOLE-TAYLOR, Asenati (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    179,  0.56,  3.91,  3.35,  3.35, 30.17, 43.02,  3.91, 10.06,  1.68,100.00 
Aotearoa Legalise Cannabis Party,     76,  1.32,  0.00, 18.42,  5.26, 51.32,  5.26,  2.63,  3.95, 11.84,100.00 
Ban1080,      4,  0.00,  0.00,  0.00, 25.00, 50.00,  0.00,  0.00, 25.00,  0.00,100.00 
Conservative,    553,  0.18, 47.74,  1.08,  0.54, 23.33, 17.54,  5.97,  1.63,  1.99,100.00 
Democrats for Social Credit,      4,  0.00, 25.00,  0.00,  0.00, 50.00,  0.00, 25.00,  0.00,  0.00,100.00 
Focus New Zealand,      7,  0.00,  0.00, 28.57,  0.00, 28.57, 28.57, 14.29,  0.00,  0.00,100.00 
Green Party,    971,  0.72,  0.51, 32.65,  1.13, 52.42,  2.99,  4.22,  0.82,  4.53,100.00 
Internet MANA,    276,  0.72,  0.72,  2.90, 33.33, 40.58,  2.90,  4.35,  0.72, 13.77,100.00 
Labour Party,  16925,  0.04,  0.46,  1.06,  0.45, 88.54,  1.22,  2.54,  1.17,  4.52,100.00 
Māori Party,     84,  0.00,  4.76,  1.19, 17.86, 30.95,  8.33,  8.33,  4.76, 23.81,100.00 
National Party,   5392,  0.20,  1.84,  1.50,  0.26, 14.87, 71.57,  4.93,  2.91,  1.91,100.00 
New Zealand First Party,   2072,  0.19,  1.50,  2.41,  1.35, 35.52,  4.63, 49.52,  1.98,  2.90,100.00 
NZ Independent Coalition,      4,  0.00,  0.00, 25.00,  0.00, 25.00,  0.00,  0.00, 50.00,  0.00,100.00 
The Civilian Party,      4,  0.00, 25.00,  0.00, 50.00, 25.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,     18, 11.11,  5.56, 16.67,  0.00, 33.33,  5.56, 16.67, 11.11,  0.00,100.00 
Informal Party Votes,    502,  1.39,  0.80,  1.39,  1.39, 53.59,  7.17,  3.59, 26.10,  4.58,100.00 
Total Party Votes and Percentages,  27071,  0.16,  1.84,  2.49,  0.96, 65.29, 16.33,  6.82,  2.13,  3.97,100.00 
