25 Manurewa,Total Party Votes,"IKILEI, Elliot Ewen Pasione (Conservative)","TUPOU, Trish (Green Party)","DAINTY, Yvonne (Internet MANA)","WALL, Louisa Hareruia (Labour Party)","BHANA, Raewyn (Māori Party)","BROWN, Simeon (National Party)","HALL, John H (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    158,  1.90,  0.00,  1.90, 27.22,  1.27, 55.06,  4.43,  5.06,  3.16,100.00 
Aotearoa Legalise Cannabis Party,    102,  2.94, 27.45,  9.80, 23.53,  1.96,  8.82,  7.84,  3.92, 13.73,100.00 
Ban1080,     15,  0.00,  6.67,  0.00, 26.67,  0.00, 33.33, 20.00,  0.00, 13.33,100.00 
Conservative,    776, 39.95,  1.16,  0.77,  7.99,  0.26, 45.23,  1.93,  0.90,  1.80,100.00 
Democrats for Social Credit,      6, 16.67, 33.33,  0.00, 16.67,  0.00, 16.67, 16.67,  0.00,  0.00,100.00 
Focus New Zealand,      1,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,   1092,  0.46, 36.63,  1.01, 45.15,  0.46,  7.60,  2.20,  1.28,  5.22,100.00 
Internet MANA,    315,  1.27,  5.40, 31.75, 32.70,  3.17,  4.44,  3.17,  0.32, 17.78,100.00 
Labour Party,  14579,  0.62,  3.33,  0.63, 81.78,  0.56,  2.33,  3.71,  1.30,  5.75,100.00 
Māori Party,    191,  1.05,  1.05,  4.71, 23.56, 27.23, 14.14,  3.66,  2.62, 21.99,100.00 
National Party,   7612,  1.38,  1.14,  0.18,  7.33,  0.71, 83.28,  2.25,  1.33,  2.40,100.00 
New Zealand First Party,   2609,  1.38,  3.49,  0.69, 27.56,  1.15, 13.65, 46.91,  1.38,  3.79,100.00 
NZ Independent Coalition,      0,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Civilian Party,     10,  0.00, 10.00, 10.00, 50.00,  0.00, 20.00, 10.00,  0.00,  0.00,100.00 
United Future,     24,  8.33,  4.17,  0.00, 25.00,  0.00, 54.17,  4.17,  4.17,  0.00,100.00 
Informal Party Votes,    197,  0.00,  1.52,  2.03, 26.40,  0.00,  5.08,  1.02, 58.38,  5.58,100.00 
Total Party Votes and Percentages,  27687,  2.03,  4.07,  0.97, 50.70,  0.86, 27.58,  7.28,  1.74,  4.77,100.00 
