37 Ōtaki,Total Party Votes,"LOVELOCK, Anne (Conservative)","DREW, Maddy (Green Party)","McCANN, Rob (Labour Party)","GUY, Nathan (National Party)","MACDONALD, Frederick John (Independent)","VICKERS, Amanda (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    111,  4.50,  5.41, 21.62, 59.46,  0.00,  0.90,  8.11,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    138,  2.17, 29.71, 34.06, 19.57,  1.45,  2.17,  1.45,  9.42,100.00 
Ban1080,     61,  1.64, 24.59, 32.79, 34.43,  1.64,  0.00,  3.28,  1.64,100.00 
Conservative,   1695, 29.38,  2.06, 11.80, 54.04,  0.00,  0.83,  1.12,  0.77,100.00 
Democrats for Social Credit,     19,  0.00,  5.26, 36.84, 10.53, 10.53, 31.58,  5.26,  0.00,100.00 
Focus New Zealand,      6,  0.00,  0.00, 50.00, 16.67, 16.67, 16.67,  0.00,  0.00,100.00 
Green Party,   3635,  0.44, 36.07, 48.53, 11.28,  0.22,  1.02,  0.61,  1.84,100.00 
Internet MANA,    249,  1.61, 29.72, 49.80,  7.23,  2.41,  4.82,  0.00,  4.42,100.00 
Labour Party,   9543,  0.51,  4.18, 88.21,  4.43,  0.21,  0.25,  0.43,  1.77,100.00 
Māori Party,    169,  4.14, 12.43, 33.14, 41.42,  0.59,  1.18,  2.37,  4.73,100.00 
National Party,  18854,  0.86,  1.24,  2.76, 94.02,  0.09,  0.18,  0.36,  0.50,100.00 
New Zealand First Party,   3827,  4.10,  8.15, 49.44, 30.57,  1.38,  1.54,  3.76,  1.05,100.00 
NZ Independent Coalition,     19,  5.26,  5.26, 31.58, 10.53, 10.53, 26.32,  5.26,  5.26,100.00 
The Civilian Party,     12,  0.00,  8.33,  8.33, 50.00, 16.67,  0.00,  8.33,  8.33,100.00 
United Future,     74,  1.35,  2.70, 14.86, 72.97,  1.35,  6.76,  0.00,  0.00,100.00 
Informal Party Votes,    298,  2.68,  3.36, 34.90, 22.82,  0.67,  0.34, 33.22,  2.01,100.00 
Total Party Votes and Percentages,  38710,  2.36,  6.36, 34.09, 54.20,  0.30,  0.52,  1.06,  1.10,100.00 
