04 Christchurch Central,Total Party Votes,"SEVERIN, Toni (ACT New Zealand)","COOKE, Michael (Conservative)","COLUMBUS, Robin (Democrats for Social Credit)","MOORHOUSE, David (Green Party)","MILNE, Tony (Labour Party)","DAVIDSON, Lenis (Māori Party)","WAGNER, Nicky (National Party)","ABRAHAM, George (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    167, 28.14,  1.20,  0.60,  1.80, 14.97,  1.20, 48.50,  1.20,  1.20,  1.20,100.00 
Aotearoa Legalise Cannabis Party,    165,  0.00,  0.00,  2.42, 32.12, 33.94,  2.42, 12.12,  8.48,  1.82,  6.67,100.00 
Ban1080,     27,  0.00,  7.41,  7.41, 18.52, 11.11,  0.00, 29.63, 18.52,  7.41,  0.00,100.00 
Conservative,   1065,  0.09, 35.77,  0.09,  1.78, 14.08,  0.47, 42.82,  2.16,  0.56,  2.16,100.00 
Democrats for Social Credit,     30,  0.00,  0.00, 63.33,  6.67, 10.00,  0.00, 16.67,  3.33,  0.00,  0.00,100.00 
Focus New Zealand,      1,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,100.00 
Green Party,   5419,  0.09,  0.17,  0.06, 30.41, 57.34,  0.17,  8.29,  0.59,  0.48,  2.42,100.00 
Internet MANA,    353,  0.00,  1.13,  1.42, 19.55, 60.62,  1.13,  4.53,  5.10,  0.85,  5.67,100.00 
Labour Party,   8995,  0.17,  0.47,  0.06,  5.58, 84.84,  0.22,  3.07,  1.68,  0.73,  3.19,100.00 
Māori Party,    157,  0.00,  1.91,  0.00,  9.55, 26.11, 17.20, 31.85,  2.55,  2.55,  8.28,100.00 
National Party,  15301,  0.29,  0.79,  0.05,  2.35,  4.61,  0.19, 88.16,  0.90,  0.55,  2.11,100.00 
New Zealand First Party,   2462,  0.28,  1.18,  0.12,  4.22, 38.02,  0.32, 17.47, 34.69,  1.22,  2.48,100.00 
NZ Independent Coalition,      3,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 66.67, 33.33,  0.00,  0.00,100.00 
The Civilian Party,     40,  0.00,  2.50, 10.00, 22.50, 25.00,  0.00, 25.00,  2.50,  2.50, 10.00,100.00 
United Future,     79,  2.53,  5.06,  0.00, 10.13, 25.32,  1.27, 48.10,  2.53,  1.27,  3.80,100.00 
Informal Party Votes,    108,  0.00,  0.00,  1.85,  2.78, 23.15,  0.00, 13.89,  0.00, 49.07,  9.26,100.00 
Total Party Votes and Percentages,  34372,  0.35,  1.74,  0.17,  8.15, 37.61,  0.32, 44.65,  3.62,  0.82,  2.58,100.00 
