44 Rimutaka,Total Party Votes,"LYNCH, Philip Michael (Conservative)","RUTHVEN, Susanne (Green Party)","HIPKINS, Chris (Labour Party)","HOLDEN, Lewis (National Party)","HUNT, Aaron (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    126,  2.38,  4.76, 33.33, 53.97,  2.38,  0.00,  3.17,100.00 
Aotearoa Legalise Cannabis Party,    194,  0.52, 22.16, 46.91, 10.82,  9.79,  5.15,  4.64,100.00 
Ban1080,     84,  4.76,  9.52, 44.05, 19.05, 17.86,  3.57,  1.19,100.00 
Conservative,   1492, 41.82,  1.01, 21.58, 31.57,  2.48,  1.01,  0.54,100.00 
Democrats for Social Credit,     14,  0.00, 14.29, 64.29, 14.29,  7.14,  0.00,  0.00,100.00 
Focus New Zealand,      4,  0.00,  0.00, 75.00,  0.00, 25.00,  0.00,  0.00,100.00 
Green Party,   3154,  0.35, 27.90, 66.14,  2.82,  1.08,  0.32,  1.40,100.00 
Internet MANA,    324,  1.85, 23.77, 56.48,  3.70,  6.79,  2.16,  5.25,100.00 
Labour Party,  12176,  0.25,  2.49, 92.69,  0.66,  1.54,  0.57,  1.81,100.00 
Māori Party,    149,  0.67, 12.08, 59.06, 15.44,  8.72,  2.68,  1.34,100.00 
National Party,  15352,  1.49,  1.73, 19.08, 74.75,  1.48,  0.72,  0.76,100.00 
New Zealand First Party,   3806,  1.50,  2.36, 54.62,  7.93, 31.95,  0.60,  1.02,100.00 
NZ Independent Coalition,     19,  5.26,  5.26, 52.63, 15.79,  5.26, 10.53,  5.26,100.00 
The Civilian Party,     19,  5.26,  5.26, 57.89, 21.05,  0.00, 10.53,  0.00,100.00 
United Future,    122,  4.10,  6.56, 42.62, 36.89,  5.74,  2.46,  1.64,100.00 
Informal Party Votes,    159,  0.00,  6.29, 36.48,  6.29,  1.26, 45.91,  3.77,100.00 
Total Party Votes and Percentages,  37194,  2.62,  4.64, 51.85, 33.94,  4.80,  0.89,  1.26,100.00 
