45 Rodney,Total Party Votes,"HOULBROOKE, Beth (ACT New Zealand)","HEYNS, Anton (Conservative)","McALL, Malcolm (Green Party)","BOLT, Eric (Labour Party)","MITCHELL, Mark (National Party)","MARTIN, Tracey (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    192, 26.04,  5.21,  2.60,  2.08, 55.21,  6.77,  0.52,  1.56,100.00 
Aotearoa Legalise Cannabis Party,    123,  1.63,  0.81, 34.96, 13.01, 27.64, 12.20,  3.25,  6.50,100.00 
Ban1080,     29, 10.34,  3.45, 37.93,  3.45, 34.48, 10.34,  0.00,  0.00,100.00 
Conservative,   2661,  0.15, 46.71,  0.83,  1.24, 44.61,  5.11,  0.41,  0.94,100.00 
Democrats for Social Credit,     15,  0.00, 13.33, 13.33, 33.33, 13.33, 26.67,  0.00,  0.00,100.00 
Focus New Zealand,      5, 20.00, 20.00,  0.00, 40.00,  0.00, 20.00,  0.00,  0.00,100.00 
Green Party,   3351,  0.54,  1.16, 60.49, 15.88, 11.22,  8.50,  0.75,  1.46,100.00 
Internet MANA,    231,  1.30,  7.79, 36.36, 20.78,  9.09, 18.61,  2.60,  3.46,100.00 
Labour Party,   4847,  0.50,  1.46, 12.21, 66.02,  5.22, 11.76,  0.58,  2.25,100.00 
Māori Party,    142,  0.70,  4.93, 13.38,  9.86, 57.04, 10.56,  0.70,  2.82,100.00 
National Party,  24051,  0.49,  2.90,  1.95,  0.44, 90.20,  2.66,  0.39,  0.96,100.00 
New Zealand First Party,   3575,  0.45,  3.08,  4.78,  8.50, 19.08, 61.96,  0.70,  1.45,100.00 
NZ Independent Coalition,     12,  8.33, 25.00,  0.00,  0.00, 41.67, 16.67,  8.33,  0.00,100.00 
The Civilian Party,      8, 12.50, 12.50, 12.50, 12.50, 37.50, 12.50,  0.00,  0.00,100.00 
United Future,     81,  2.47,  3.70,  7.41, 16.05, 56.79,  7.41,  3.70,  2.47,100.00 
Informal Party Votes,     91,  0.00,  2.20,  2.20,  9.89, 19.78,  3.30, 60.44,  2.20,100.00 
Total Party Votes and Percentages,  39414,  0.62,  5.61,  8.76, 10.88, 62.21, 10.02,  0.65,  1.25,100.00 
