48 Selwyn,Total Party Votes,"GILBERT, Paul (ACT New Zealand)","CLIBBORN, Roger (Conservative)","HILL, Peter Selwyn (Green Party)","DICKSON, Gordon John (Labour Party)","GARDYNE, Sheryl (Māori Party)","ADAMS, Amy (National Party)","WOODS, Bill (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    139, 22.30,  0.00,  2.88,  7.19,  0.00, 61.15,  3.60,  0.00,  2.88,100.00 
Aotearoa Legalise Cannabis Party,    120,  0.83,  1.67, 25.83, 11.67,  0.83, 32.50, 15.00,  3.33,  8.33,100.00 
Ban1080,     78,  0.00,  3.85, 12.82,  7.69,  2.56, 48.72, 20.51,  0.00,  3.85,100.00 
Conservative,   1253,  0.32, 29.05,  3.27,  3.59,  0.24, 58.66,  4.07,  0.32,  0.48,100.00 
Democrats for Social Credit,     10,  0.00,  0.00, 20.00, 10.00, 10.00, 50.00, 10.00,  0.00,  0.00,100.00 
Focus New Zealand,      5,  0.00,  0.00,  0.00, 20.00,  0.00, 80.00,  0.00,  0.00,  0.00,100.00 
Green Party,   3910,  0.10,  0.31, 59.74, 15.35,  0.97, 19.03,  1.84,  0.90,  1.76,100.00 
Internet MANA,    184,  0.00,  3.80, 47.28, 17.39,  0.54, 11.41,  9.78,  2.72,  7.07,100.00 
Labour Party,   4654,  0.24,  0.64, 19.34, 58.25,  0.75, 11.50,  6.27,  0.73,  2.28,100.00 
Māori Party,    111,  0.00,  0.90, 13.51, 10.81, 16.22, 45.05,  6.31,  0.90,  6.31,100.00 
National Party,  22809,  0.11,  0.66,  1.76,  0.32,  0.09, 94.59,  1.01,  0.19,  1.28,100.00 
New Zealand First Party,   2494,  0.20,  1.80,  9.02, 12.87,  0.28, 28.07, 44.91,  0.80,  2.04,100.00 
NZ Independent Coalition,      5,  0.00,  0.00, 20.00,  0.00, 20.00, 40.00, 20.00,  0.00,  0.00,100.00 
The Civilian Party,     16,  0.00, 12.50, 12.50, 12.50,  0.00, 31.25, 18.75,  6.25,  6.25,100.00 
United Future,     87,  1.15,  2.30,  6.90,  2.30,  2.30, 79.31,  5.75,  0.00,  0.00,100.00 
Informal Party Votes,     65,  0.00,  0.00,  3.08,  9.23,  0.00, 29.23,  3.08, 53.85,  1.54,100.00 
Total Party Votes and Percentages,  35940,  0.23,  1.72, 11.31, 10.67,  0.36, 68.52,  5.12,  0.51,  1.56,100.00 
