51 Taupō,Total Party Votes,"GEDGE, Lance (Conservative)","PEMBERTON, John (Democrats for Social Credit)","ROBINSON, Dave (Green Party)","STRANGE, Jamie (Labour Party)","WINITANA, Claire (Māori Party)","UPSTON, Louise (National Party)","PERRY, Edwin (New Zealand First Party)","SIMMONS, Alan (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     91,  4.40,  2.20,  3.30,  5.49,  0.00, 72.53,  4.40,  1.10,  1.10,  5.49,100.00 
Aotearoa Legalise Cannabis Party,    148,  2.70,  0.68, 29.05, 25.68,  7.43, 18.92,  7.43,  0.68,  0.68,  6.76,100.00 
Ban1080,    223,  5.38,  0.00, 13.45, 16.14,  3.59, 33.63, 19.73,  4.04,  1.79,  2.24,100.00 
Conservative,   1729, 33.02,  0.23,  1.27,  4.63,  0.12, 56.74,  1.79,  0.52,  0.87,  0.81,100.00 
Democrats for Social Credit,     29,  0.00, 65.52, 10.34,  3.45,  0.00, 17.24,  0.00,  0.00,  0.00,  3.45,100.00 
Focus New Zealand,      7, 14.29,  0.00, 28.57, 14.29,  0.00, 14.29, 14.29, 14.29,  0.00,  0.00,100.00 
Green Party,   2224,  0.54,  0.27, 46.09, 29.14,  1.71, 17.49,  1.98,  0.27,  0.90,  1.62,100.00 
Internet MANA,    190,  0.53,  1.58, 30.00, 40.00,  7.89,  7.37,  4.74,  0.53,  0.53,  6.84,100.00 
Labour Party,   6752,  0.58,  0.04,  5.23, 81.10,  1.17,  4.93,  3.29,  0.27,  0.89,  2.50,100.00 
Māori Party,    298,  0.34,  0.00,  5.37, 11.41, 40.27, 31.21,  2.35,  0.34,  0.34,  8.39,100.00 
National Party,  20703,  0.95,  0.06,  1.17,  0.85,  0.23, 94.26,  1.10,  0.20,  0.45,  0.72,100.00 
New Zealand First Party,   3730,  1.26,  0.48,  3.54, 21.45,  1.10, 23.19, 45.55,  0.67,  1.10,  1.66,100.00 
NZ Independent Coalition,     10, 10.00,  0.00,  0.00, 20.00,  0.00, 50.00, 10.00,  0.00,  0.00, 10.00,100.00 
The Civilian Party,     13,  7.69,  0.00, 23.08, 15.38,  7.69, 38.46,  0.00,  0.00,  7.69,  0.00,100.00 
United Future,     94,  0.00,  1.06,  2.13, 10.64,  3.19, 45.74,  2.13, 31.91,  1.06,  2.13,100.00 
Informal Party Votes,    121,  0.83,  0.83,  0.83, 13.22,  0.00, 25.62,  5.79,  0.00, 48.76,  4.13,100.00 
Total Party Votes and Percentages,  36362,  2.45,  0.20,  5.32, 20.36,  1.01, 61.73,  6.35,  0.39,  0.82,  1.37,100.00 
