54 Tukituki,Total Party Votes,"LENNOX, Duncan (ACT New Zealand)","MANNING, Romana Marnz (Aotearoa Legalise Cannabis Party)","JENKINSON, Stephen (Conservative)","RYAN, Dick (Democrats for Social Credit)","PERLEY, Chris (Green Party)","LORCK, Anna (Labour Party)","FOSS, Craig (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    144, 27.08,  0.00,  4.86,  0.00,  4.86, 17.36, 43.75,  2.08,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    150,  0.67, 54.67,  2.67,  0.67,  4.67, 20.00, 10.00,  0.00,  6.67,100.00 
Ban1080,     50,  2.00,  4.00,  8.00,  4.00, 10.00, 16.00, 48.00,  4.00,  4.00,100.00 
Conservative,   2357,  0.81,  0.21, 43.40,  0.21,  1.40, 16.38, 36.78,  0.51,  0.30,100.00 
Democrats for Social Credit,     18,  0.00,  0.00,  5.56, 55.56, 11.11, 16.67,  0.00,  5.56,  5.56,100.00 
Focus New Zealand,      5,  0.00,  0.00, 20.00,  0.00,  0.00, 60.00, 20.00,  0.00,  0.00,100.00 
Green Party,   3078,  0.10,  1.40,  0.84,  0.29, 38.63, 47.99,  9.10,  0.71,  0.94,100.00 
Internet MANA,    244,  1.23, 12.70,  2.05,  1.64, 18.03, 51.64,  2.46,  2.46,  7.79,100.00 
Labour Party,   8205,  0.13,  0.80,  0.74,  0.21,  4.52, 87.92,  2.39,  0.98,  2.30,100.00 
Māori Party,    185,  0.54,  5.95,  4.32,  0.00, 12.97, 36.22, 30.81,  1.08,  8.11,100.00 
National Party,  18680,  0.29,  0.20,  2.83,  0.09,  1.41,  6.10, 88.00,  0.49,  0.58,100.00 
New Zealand First Party,   2731,  0.95,  2.71,  8.93,  0.99,  7.03, 55.33, 19.74,  3.22,  1.10,100.00 
NZ Independent Coalition,      4,  0.00,  0.00, 25.00,  0.00, 25.00, 25.00, 25.00,  0.00,  0.00,100.00 
The Civilian Party,     12,  8.33,  8.33,  0.00,  0.00, 50.00, 16.67, 16.67,  0.00,  0.00,100.00 
United Future,     59,  1.69,  0.00,  8.47,  8.47,  8.47, 16.95, 54.24,  0.00,  1.69,100.00 
Informal Party Votes,    135,  1.48,  2.22,  1.48,  0.00,  4.44, 33.33, 11.11, 44.44,  1.48,100.00 
Total Party Votes and Percentages,  36057,  0.45,  0.98,  5.32,  0.27,  5.98, 33.41, 51.41,  1.02,  1.15,100.00 
