55 Upper Harbour,Total Party Votes,"BERRY, Stephen (ACT New Zealand)","BLAIR, Callum (Conservative)","MAYNE, Nicholas (Green Party)","NGATA, Makelesi (Internet MANA)","RETZLAFF, Hermann (Labour Party)","TE HAU, Hinurewa (Māori Party)","BENNETT, Paula (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    450, 47.78,  1.78,  1.78,  0.00,  6.22,  0.22, 38.67,  1.78,  1.78,100.00 
Aotearoa Legalise Cannabis Party,    129,  3.10,  7.75, 31.78,  3.88, 20.93,  2.33, 25.58,  0.78,  3.88,100.00 
Ban1080,     13,  7.69,  7.69, 23.08,  0.00, 15.38,  0.00, 46.15,  0.00,  0.00,100.00 
Conservative,   1613,  0.50, 54.74,  0.62,  0.12,  4.71,  0.00, 37.82,  0.62,  0.87,100.00 
Democrats for Social Credit,      4, 25.00,  0.00,  0.00,  0.00, 50.00,  0.00, 25.00,  0.00,  0.00,100.00 
Focus New Zealand,      4,  0.00, 50.00,  0.00,  0.00, 25.00,  0.00, 25.00,  0.00,  0.00,100.00 
Green Party,   2329,  0.69,  1.67, 51.95,  0.86, 29.20,  1.50, 11.34,  0.52,  2.28,100.00 
Internet MANA,    286,  0.70,  4.90, 20.98, 25.52, 26.22,  2.80, 10.49,  0.35,  8.04,100.00 
Labour Party,   7803,  0.56,  1.35,  6.66,  0.86, 81.84,  0.60,  4.25,  0.79,  3.08,100.00 
Māori Party,    119,  0.84,  2.52,  6.72,  0.84, 20.17, 29.41, 29.41,  2.52,  7.56,100.00 
National Party,  18122,  1.21,  2.94,  2.32,  0.04,  2.29,  0.31, 88.78,  0.66,  1.45,100.00 
New Zealand First Party,   2311,  1.51,  9.87, 13.93,  1.13, 36.78,  2.38, 29.60,  2.73,  2.08,100.00 
NZ Independent Coalition,      7, 14.29, 28.57,  0.00,  0.00, 42.86,  0.00, 14.29,  0.00,  0.00,100.00 
The Civilian Party,     14,  0.00,  7.14, 35.71,  7.14, 21.43,  7.14, 14.29,  0.00,  7.14,100.00 
United Future,     69,  1.45,  7.25, 10.14,  2.90, 11.59,  5.80, 60.87,  0.00,  0.00,100.00 
Informal Party Votes,    130,  0.00,  4.62,  3.08,  0.00, 33.08,  0.00,  8.46, 45.38,  5.38,100.00 
Total Party Votes and Percentages,  33403,  1.64,  5.51,  7.84,  0.61, 25.82,  0.74, 54.83,  1.01,  2.01,100.00 
