56 Waikato,Total Party Votes,"BURROW, Mike (ACT New Zealand)","DOBBS, Brian (Conservative)","RANSOM, Katherine (Democrats for Social Credit)","GREER, Christine (Labour Party)","TISCH, Lindsay (National Party)","STEWART, Barbara (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    191, 38.74,  1.57,  0.00,  6.28, 46.60,  4.19,  1.05,  1.57,100.00 
Aotearoa Legalise Cannabis Party,    180,  2.22,  7.22,  2.78, 28.89, 26.11, 21.11,  2.78,  8.89,100.00 
Ban1080,     89,  0.00,  5.62,  2.25, 22.47, 50.56, 15.73,  1.12,  2.25,100.00 
Conservative,   2053,  0.39, 40.43,  0.44,  2.87, 50.80,  3.12,  0.68,  1.27,100.00 
Democrats for Social Credit,     38,  0.00,  5.26, 57.89,  2.63, 23.68,  7.89,  0.00,  2.63,100.00 
Focus New Zealand,      6,  0.00,  0.00, 16.67,  0.00, 16.67, 66.67,  0.00,  0.00,100.00 
Green Party,   2075,  1.16,  2.80,  1.88, 57.73, 20.58,  9.78,  3.37,  2.70,100.00 
Internet MANA,    178,  1.69,  3.37,  4.49, 44.38, 11.24, 20.79,  4.49,  9.55,100.00 
Labour Party,   5303,  0.53,  1.04,  0.38, 83.93,  3.88,  5.02,  1.32,  3.90,100.00 
Māori Party,    196,  1.53,  5.10,  1.53, 30.10, 41.33, 11.22,  2.55,  6.63,100.00 
National Party,  21598,  0.54,  1.68,  0.13,  0.88, 93.17,  1.82,  0.57,  1.21,100.00 
New Zealand First Party,   3870,  0.72,  2.35,  0.78, 15.50, 19.02, 58.42,  1.03,  2.17,100.00 
NZ Independent Coalition,     10,  0.00,  0.00, 20.00,  0.00, 50.00, 30.00,  0.00,  0.00,100.00 
The Civilian Party,      8, 12.50, 12.50, 12.50, 12.50, 50.00,  0.00,  0.00,  0.00,100.00 
United Future,     78,  1.28,  5.13,  2.56, 12.82, 64.10,  7.69,  5.13,  1.28,100.00 
Informal Party Votes,    127,  0.00,  0.79,  0.00,  7.09, 19.69,  6.30, 62.20,  3.94,100.00 
Total Party Votes and Percentages,  36000,  0.81,  4.01,  0.48, 18.73, 63.64,  9.25,  1.17,  1.92,100.00 
