58 Wairarapa,Total Party Votes,"ATKINSON, Shane (ACT New Zealand)","REID, Brent Allan (Conservative)","HART, John (Green Party)","McANULTY, Kieran (Labour Party)","SMITH, Ra (Māori Party)","SCOTT, Alastair (National Party)","MARK, Ron (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    124, 16.94,  0.81,  2.42, 12.10,  0.00, 48.39, 18.55,  0.81,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    175,  2.86,  2.29, 22.29, 24.00,  2.29,  8.57, 28.57,  3.43,  5.71,100.00 
Ban1080,    142,  0.00,  4.93,  4.93, 23.94,  1.41, 24.65, 36.62,  1.41,  2.11,100.00 
Conservative,   1622,  0.49, 29.84,  0.74,  8.69,  0.18, 33.29, 25.77,  0.37,  0.62,100.00 
Democrats for Social Credit,      7,  0.00, 14.29, 14.29, 14.29,  0.00, 14.29, 42.86,  0.00,  0.00,100.00 
Focus New Zealand,      4,  0.00, 25.00,  0.00, 25.00, 25.00,  0.00,  0.00, 25.00,  0.00,100.00 
Green Party,   3134,  0.00,  0.45, 29.42, 47.19,  0.80,  3.03, 17.45,  0.26,  1.40,100.00 
Internet MANA,    164,  0.61,  0.61, 17.68, 44.51,  2.44,  2.44, 26.83,  0.61,  4.27,100.00 
Labour Party,   7712,  0.14,  0.47,  3.58, 75.69,  0.45,  0.48, 17.23,  0.58,  1.37,100.00 
Māori Party,    209,  0.00,  1.44,  3.35, 29.67, 26.79, 15.31, 17.70,  1.44,  4.31,100.00 
National Party,  19634,  0.17,  1.17,  1.09,  4.98,  0.20, 77.30, 14.14,  0.48,  0.47,100.00 
New Zealand First Party,   4393,  0.11,  0.57,  1.23, 17.14,  0.23,  4.21, 75.17,  0.46,  0.89,100.00 
NZ Independent Coalition,      8,  0.00, 25.00,  0.00,  0.00,  0.00, 25.00, 50.00,  0.00,  0.00,100.00 
The Civilian Party,     22, 18.18,  4.55,  0.00, 22.73,  0.00,  9.09, 36.36,  9.09,  0.00,100.00 
United Future,     59,  1.69,  8.47,  3.39, 20.34,  1.69, 42.37, 22.03,  0.00,  0.00,100.00 
Informal Party Votes,    116,  0.86,  1.72,  0.00, 16.38,  0.86, 10.34, 20.69, 49.14,  0.00,100.00 
Total Party Votes and Percentages,  37525,  0.24,  2.17,  4.17, 25.19,  0.48, 43.23, 23.00,  0.66,  0.86,100.00 
