59 Waitaki,Total Party Votes,"AUBREY, Donald (Conservative)","VAN WIEREN, Hessel (Democrats for Social Credit)","COUTTS, Sue (Green Party)","ALEXANDER, Glenda (Labour Party)","DEAN, Jacqui (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    106, 18.87,  3.77,  9.43, 10.38, 50.00,  4.72,  2.83,100.00 
Aotearoa Legalise Cannabis Party,    208,  4.33,  3.85, 41.83, 17.31, 25.96,  2.40,  4.33,100.00 
Ban1080,    143,  6.29,  2.10, 18.88, 14.69, 53.85,  1.40,  2.80,100.00 
Conservative,   1741, 44.92,  0.92,  3.10,  6.38, 43.77,  0.52,  0.40,100.00 
Democrats for Social Credit,     86,  2.33, 61.63,  5.81,  8.14, 19.77,  1.16,  1.16,100.00 
Focus New Zealand,      5, 20.00,  0.00,  0.00, 20.00, 60.00,  0.00,  0.00,100.00 
Green Party,   4386,  0.59,  0.43, 65.34, 19.33, 12.36,  0.68,  1.25,100.00 
Internet MANA,    159,  3.14,  3.77, 43.40, 38.99,  6.92,  1.89,  1.89,100.00 
Labour Party,   7162,  0.81,  0.39, 11.49, 77.35,  7.67,  0.96,  1.33,100.00 
Māori Party,    104,  2.88,  0.96, 20.19, 15.38, 55.77,  0.96,  3.85,100.00 
National Party,  22656,  1.18,  0.16,  2.37,  0.67, 94.53,  0.55,  0.54,100.00 
New Zealand First Party,   2763,  8.00,  2.53, 13.07, 37.42, 32.90,  5.36,  0.72,100.00 
NZ Independent Coalition,     10,  0.00,  0.00, 20.00, 40.00, 40.00,  0.00,  0.00,100.00 
The Civilian Party,     16,  6.25, 18.75,  0.00, 18.75, 56.25,  0.00,  0.00,100.00 
United Future,     94, 12.77,  5.32, 13.83, 11.70, 50.00,  5.32,  1.06,100.00 
Informal Party Votes,    130,  0.77,  0.00,  2.31, 17.69, 26.92, 52.31,  0.00,100.00 
Total Party Votes and Percentages,  39769,  3.56,  0.64, 12.27, 19.81, 61.72,  1.18,  0.81,100.00 
