62 Whanganui,Total Party Votes,"DAVIDSON, Alan (ACT New Zealand)","MacINTYRE, Kim (Conservative)","SMITH, Heather Marion (Democrats for Social Credit)","McDOUALL, Hamish (Labour Party)","TUAINE, Nancy (Māori Party)","BORROWS, Chester (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    167, 32.93,  1.20,  0.00, 21.56,  0.00, 41.92,  0.60,  1.80,100.00 
Aotearoa Legalise Cannabis Party,    190,  2.63,  9.47,  5.79, 47.37,  7.89, 19.47,  2.63,  4.74,100.00 
Ban1080,     56,  3.57,  8.93,  5.36, 48.21,  0.00, 32.14,  0.00,  1.79,100.00 
Conservative,   1771,  0.45, 23.88,  0.51, 19.14,  0.34, 54.71,  0.28,  0.68,100.00 
Democrats for Social Credit,     57,  1.75,  1.75, 71.93, 10.53,  0.00, 14.04,  0.00,  0.00,100.00 
Focus New Zealand,     14,  7.14,  0.00,  0.00,  7.14,  0.00, 78.57,  7.14,  0.00,100.00 
Green Party,   2546,  0.71,  2.44,  1.06, 71.25,  5.38, 16.58,  1.41,  1.18,100.00 
Internet MANA,    259, 14.29,  2.70,  2.32, 61.78,  7.34,  5.79,  1.93,  3.86,100.00 
Labour Party,   9012,  0.22,  0.57,  0.23, 90.61,  1.38,  4.95,  0.52,  1.52,100.00 
Māori Party,    205,  0.00,  0.00,  0.00, 19.51, 46.34, 29.27,  0.00,  4.88,100.00 
National Party,  16687,  0.30,  0.62,  0.07,  6.53,  0.44, 91.20,  0.37,  0.47,100.00 
New Zealand First Party,   4221,  1.18,  4.57,  1.80, 54.61,  3.13, 30.82,  3.15,  0.73,100.00 
NZ Independent Coalition,     13,  0.00,  7.69,  7.69, 53.85, 15.38, 15.38,  0.00,  0.00,100.00 
The Civilian Party,     22,  0.00,  9.09,  0.00, 50.00, 13.64, 27.27,  0.00,  0.00,100.00 
United Future,     75,  4.00,  5.33,  2.67, 28.00,  2.67, 54.67,  2.67,  0.00,100.00 
Informal Party Votes,    112,  1.79,  0.00,  0.00, 27.68,  0.89, 21.43, 47.32,  0.89,100.00 
Total Party Votes and Percentages,  35407,  0.71,  2.46,  0.59, 39.95,  1.72, 52.67,  0.99,  0.91,100.00 
