64 Wigram,Total Party Votes,"GRIEVE, Shaun (ACT New Zealand)","PETERS, Mark (Conservative)","RING, John (Democrats for Social Credit)","WESLEY, Richard (Green Party)","McCLINTOCK, Lois (Internet MANA)","WOODS, Megan (Labour Party)","PHILLIPS, Te Whe (Māori Party)","VARLEY, Karl (National Party)","HANSEN, Tubby (NZ Economic Euthenics Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    317, 44.16,  0.95,  0.00,  1.89,  0.63, 20.82,  0.00, 29.97,  0.32,  1.26,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    154,  1.95,  1.95,  0.00, 25.97,  9.09, 40.26,  0.00, 10.39,  0.65,  1.30,  8.44,100.00 
Ban1080,     41,  0.00,  2.44,  4.88, 12.20,  2.44, 36.59,  2.44, 26.83,  2.44,  0.00,  9.76,100.00 
Conservative,   1102,  0.27, 41.29,  0.09,  1.81,  0.36, 21.23,  0.27, 32.67,  0.09,  0.91,  1.00,100.00 
Democrats for Social Credit,     30,  3.33, 10.00, 40.00,  0.00,  0.00, 23.33,  0.00, 16.67,  3.33,  3.33,  0.00,100.00 
Focus New Zealand,      5,  0.00, 20.00,  0.00, 20.00,  0.00, 60.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,   3919,  0.28,  0.23,  0.28, 32.25,  0.69, 59.10,  0.31,  3.80,  0.15,  0.54,  2.37,100.00 
Internet MANA,    231,  0.00,  0.43,  0.00, 11.26, 39.83, 36.36,  1.73,  1.73,  1.30,  0.43,  6.93,100.00 
Labour Party,   8764,  0.24,  0.49,  0.10,  3.79,  0.29, 91.45,  0.14,  0.60,  0.02,  0.64,  2.24,100.00 
Māori Party,    145,  0.69,  2.07,  0.00,  8.97,  0.00, 48.28, 20.69, 10.34,  0.69,  0.69,  7.59,100.00 
National Party,  13117,  0.91,  1.66,  0.17,  2.97,  0.14, 14.66,  0.27, 76.44,  0.11,  1.01,  1.65,100.00 
New Zealand First Party,   2618,  0.57,  3.78,  0.76,  7.83,  0.99, 62.34,  0.92, 15.74,  0.53,  3.93,  2.60,100.00 
NZ Independent Coalition,      7,  0.00, 14.29,  0.00,  0.00,  0.00, 57.14,  0.00,  0.00, 14.29,  0.00, 14.29,100.00 
The Civilian Party,     31,  3.23,  6.45,  0.00, 22.58,  3.23, 41.94,  0.00,  9.68,  3.23,  3.23,  6.45,100.00 
United Future,     86,  1.16,  4.65,  1.16, 12.79,  1.16, 40.70,  0.00, 31.40,  2.33,  1.16,  3.49,100.00 
Informal Party Votes,    136,  1.47,  0.74,  0.74,  2.94,  0.74, 29.41,  0.00,  9.56,  0.74, 50.00,  3.68,100.00 
Total Party Votes and Percentages,  30703,  1.04,  2.76,  0.26,  7.57,  0.69, 47.29,  0.40, 36.44,  0.17,  1.31,  2.08,100.00 
