65 Hauraki-Waikato,Total Party Votes,"GREENSILL, Angeline Ngahina (Internet MANA)","MAHUTA, Nanaia (Labour Party)","CULLEN, Susan (Māori Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     43, 11.63, 51.16, 27.91,  4.65,  4.65,100.00 
Aotearoa Legalise Cannabis Party,    306, 20.59, 44.12, 28.10,  3.92,  3.27,100.00 
Ban1080,     34, 35.29, 38.24, 17.65,  5.88,  2.94,100.00 
Conservative,    159,  9.43, 38.99, 34.59, 12.58,  4.40,100.00 
Democrats for Social Credit,      5, 20.00, 20.00, 60.00,  0.00,  0.00,100.00 
Focus New Zealand,     10, 30.00, 50.00, 20.00,  0.00,  0.00,100.00 
Green Party,   2043, 21.05, 52.96, 20.75,  1.86,  3.38,100.00 
Internet MANA,   1689, 70.52, 18.89,  5.21,  1.54,  3.85,100.00 
Labour Party,   9724,  7.18, 81.05,  7.11,  1.42,  3.25,100.00 
Māori Party,   2504,  7.99, 26.52, 60.86,  1.48,  3.15,100.00 
National Party,   1583,  6.13, 24.19, 57.36,  9.29,  3.03,100.00 
New Zealand First Party,   2796, 13.27, 54.69, 24.11,  5.47,  2.47,100.00 
NZ Independent Coalition,      1,  0.00,  0.00,100.00,  0.00,  0.00,100.00 
The Civilian Party,      3, 33.33,  0.00, 33.33, 33.33,  0.00,100.00 
United Future,     14, 14.29, 50.00, 35.71,  0.00,  0.00,100.00 
Informal Party Votes,    302,  8.94, 29.14,  5.30, 54.97,  1.66,100.00 
Total Party Votes and Percentages,  21216, 14.69, 57.46, 21.19,  3.50,  3.16,100.00 
