67 Tāmaki Makaurau,Total Party Votes,"DAVIDSON, Marama (Green Party)","PENE, Kereama (Internet MANA)","HENARE, Peeni (Labour Party)","McLEAN, Rangi (Māori Party)","HARRISON, Raewyn (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     39, 12.82,  7.69, 25.64, 38.46,  7.69,  5.13,  2.56,100.00 
Aotearoa Legalise Cannabis Party,    200, 27.50, 14.00, 20.00, 28.50,  2.50,  2.00,  5.50,100.00 
Ban1080,      5,  0.00, 40.00,  0.00, 40.00, 20.00,  0.00,  0.00,100.00 
Conservative,    128, 11.72,  6.25, 18.75, 43.75, 12.50,  4.69,  2.34,100.00 
Democrats for Social Credit,      1,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,100.00 
Focus New Zealand,      6, 16.67, 33.33,  0.00, 50.00,  0.00,  0.00,  0.00,100.00 
Green Party,   2438, 49.22,  5.66, 22.15, 19.40,  0.53,  0.41,  2.63,100.00 
Internet MANA,   2234,  9.67, 58.28, 12.80, 14.32,  0.36,  0.54,  4.03,100.00 
Labour Party,   8432,  9.33,  8.15, 62.17, 14.61,  0.79,  0.72,  4.22,100.00 
Māori Party,   2651,  5.17,  3.32,  9.24, 78.54,  0.41,  0.57,  2.75,100.00 
National Party,   1575, 18.10,  2.73, 10.73, 51.75,  7.24,  5.52,  3.94,100.00 
New Zealand First Party,   2914, 14.58, 10.23, 32.53, 34.01,  2.61,  3.43,  2.61,100.00 
NZ Independent Coalition,      4,  0.00, 50.00,  0.00, 25.00, 25.00,  0.00,  0.00,100.00 
The Civilian Party,      1,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,     16, 12.50, 18.75, 25.00, 31.25, 12.50,  0.00,  0.00,100.00 
Informal Party Votes,    204,  3.92,  9.80, 11.76,  8.82,  0.00, 58.82,  6.86,100.00 
Total Party Votes and Percentages,  20848, 15.04, 12.59, 36.13, 29.12,  1.52,  2.00,  3.60,100.00 
