07 Coromandel,Total Party Votes,"OLSEN, David Edward (ACT New Zealand)","DOWNARD, Mike (Ban1080)","WALKDEN, David (Conservative)","DELAHUNTY, Catherine (Green Party)","POSCHL, Korbinian (Labour Party)","PAKINGA, Hiria (Māori Party)","SIMPSON, Scott (National Party)","ERTEL, Grant (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    142, 28.17,  0.00,  3.52,  4.23,  4.23,  0.00, 53.52,  4.23,  1.41,  0.70,100.00 
Aotearoa Legalise Cannabis Party,    139,  1.44,  9.35,  2.88, 42.45, 15.11,  2.16, 15.83,  7.19,  2.16,  1.44,100.00 
Ban1080,    112,  0.89, 71.43,  0.00,  5.36,  2.68,  0.00, 10.71,  5.36,  1.79,  1.79,100.00 
Conservative,   2004,  0.50,  1.10, 33.53,  4.34,  2.69,  0.15, 53.19,  3.14,  0.35,  1.00,100.00 
Democrats for Social Credit,     20,  5.00,  5.00, 10.00, 45.00,  0.00,  5.00, 10.00, 20.00,  0.00,  0.00,100.00 
Focus New Zealand,      7,  0.00, 14.29,  0.00, 57.14,  0.00,  0.00, 14.29, 14.29,  0.00,  0.00,100.00 
Green Party,   3724,  0.08,  1.34,  0.46, 78.25,  7.98,  0.35,  8.30,  1.21,  0.51,  1.53,100.00 
Internet MANA,    259,  0.39,  6.18,  1.93, 48.26, 15.06,  5.79,  6.56,  9.27,  1.54,  5.02,100.00 
Labour Party,   5960,  0.23,  0.87,  0.97, 27.35, 55.27,  0.76,  5.47,  6.36,  0.97,  1.74,100.00 
Māori Party,    184,  0.00,  2.17,  3.26, 18.48,  8.15, 20.65, 35.87,  1.63,  2.72,  7.07,100.00 
National Party,  20547,  0.36,  0.42,  1.35,  2.77,  0.33,  0.16, 92.04,  1.53,  0.51,  0.54,100.00 
New Zealand First Party,   4741,  0.27,  1.75,  1.65, 13.98,  8.90,  0.51, 22.48, 48.30,  0.95,  1.20,100.00 
NZ Independent Coalition,     17,  0.00,  0.00, 23.53, 23.53,  5.88,  0.00,  5.88, 29.41,  5.88,  5.88,100.00 
The Civilian Party,     11,  9.09, 18.18,  9.09, 18.18, 18.18,  0.00, 18.18,  0.00,  9.09,  0.00,100.00 
United Future,     64,  1.56,  7.81,  3.13, 17.19,  4.69,  0.00, 62.50,  3.13,  0.00,  0.00,100.00 
Informal Party Votes,    117,  0.85,  3.42,  1.71,  7.69,  9.40,  0.85, 14.53,  5.13, 52.99,  3.42,100.00 
Total Party Votes and Percentages,  38048,  0.42,  1.10,  2.98, 16.12, 11.13,  0.46, 57.65,  8.30,  0.82,  1.01,100.00 
