70 Te Tai Tonga,Total Party Votes,"KINGI, Emma-Jane Mihaere (Aotearoa Legalise Cannabis Party)","TAMATI, Hahona Rakiraki (Democrats for Social Credit)","LANGSBURY, Dora Roimata (Green Party)","BEYER, Georgina (Internet MANA)","TIRIKATENE, Rino (Labour Party)","BUTTON, Ngaire (Māori Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     35,  5.71,  5.71, 17.14,  8.57, 28.57, 22.86,  0.00, 11.43,100.00 
Aotearoa Legalise Cannabis Party,    282, 65.25,  0.35,  5.67,  3.90, 11.35,  8.16,  0.35,  4.96,100.00 
Ban1080,     99, 11.11,  1.01, 20.20, 11.11, 34.34, 14.14,  4.04,  4.04,100.00 
Conservative,    153,  5.23,  8.50,  9.15,  5.23, 25.49, 36.60,  7.84,  1.96,100.00 
Democrats for Social Credit,     15,  0.00, 53.33,  6.67, 20.00, 13.33,  6.67,  0.00,  0.00,100.00 
Focus New Zealand,      3,  0.00,  0.00,  0.00, 33.33, 33.33, 33.33,  0.00,  0.00,100.00 
Green Party,   3402,  3.44,  0.32, 43.18, 11.38, 26.57, 12.02,  0.26,  2.82,100.00 
Internet MANA,   1021,  4.90,  0.39,  8.13, 57.20, 15.48,  9.11,  0.78,  4.02,100.00 
Labour Party,   7607,  3.05,  0.32,  9.82,  5.73, 69.07,  8.56,  0.93,  2.52,100.00 
Māori Party,   2319,  1.90,  0.43,  5.05,  5.48, 15.52, 67.83,  1.12,  2.67,100.00 
National Party,   2977,  6.01,  1.88, 13.00,  6.28, 14.04, 49.92,  7.22,  1.65,100.00 
New Zealand First Party,   2657,  6.51,  1.32, 11.40,  8.51, 45.28, 20.81,  4.74,  1.43,100.00 
NZ Independent Coalition,      8,  0.00,  0.00, 12.50, 12.50, 25.00, 25.00, 12.50, 12.50,100.00 
The Civilian Party,      9, 22.22,  0.00, 22.22,  0.00, 22.22, 33.33,  0.00,  0.00,100.00 
United Future,     18,  5.56,  0.00, 22.22,  5.56, 22.22, 44.44,  0.00,  0.00,100.00 
Informal Party Votes,    125,  1.60,  0.00,  2.40,  8.00, 17.60,  8.00, 57.60,  4.80,100.00 
Total Party Votes and Percentages,  20730,  4.85,  0.80, 15.31,  9.63, 40.74, 23.59,  2.63,  2.46,100.00 
