71 Waiariki,Total Party Votes,"SYKES, Annette (Internet MANA)","WAITITI, Rawiri (Labour Party)","FLAVELL, Te Ururoa James (Māori Party)","SPELLMAN, Pat (NZ Independent Coalition)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     17, 17.65, 41.18, 41.18,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    222, 32.88, 19.82, 36.04,  4.05,  2.70,  4.50,100.00 
Ban1080,     70, 32.86, 24.29, 34.29,  2.86,  4.29,  1.43,100.00 
Conservative,     78, 10.26, 23.08, 48.72, 10.26,  5.13,  2.56,100.00 
Democrats for Social Credit,      2,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Focus New Zealand,      8, 37.50, 12.50, 37.50, 12.50,  0.00,  0.00,100.00 
Green Party,   1787, 27.59, 23.22, 42.87,  1.90,  1.57,  2.85,100.00 
Internet MANA,   2524, 85.42,  3.80,  6.58,  0.28,  0.55,  3.37,100.00 
Labour Party,   8595, 20.20, 50.03, 25.20,  0.57,  1.21,  2.79,100.00 
Māori Party,   4880,  6.95,  2.97, 87.25,  0.27,  0.47,  2.09,100.00 
National Party,   1120,  5.63,  7.05, 73.30,  6.07,  5.45,  2.50,100.00 
New Zealand First Party,   2809, 19.62, 24.14, 47.31,  3.06,  3.38,  2.49,100.00 
NZ Independent Coalition,     41, 17.07,  9.76, 21.95, 51.22,  0.00,  0.00,100.00 
The Civilian Party,      5, 20.00, 40.00, 40.00,  0.00,  0.00,  0.00,100.00 
United Future,     11,  0.00, 27.27, 72.73,  0.00,  0.00,  0.00,100.00 
Informal Party Votes,    229, 10.48, 12.23, 21.40,  1.31, 49.34,  5.24,100.00 
Total Party Votes and Percentages,  22398, 24.48, 26.06, 43.42,  1.34,  2.01,  2.68,100.00 
